text,label,target
"So you are saying only muslims do this? Ask yourself how did they do the meat you eat? It just showed up magicaly 123 ""meat"". No idiot you have to slaughter the animal that's why there is blood on the floor incase you dont know. You are asking something obvious.",Religion,5
"This idiot is a German tennis coach with origins tied to Serbia. You forget the holocaust and genocide of bosnian Muslims ? They were hated for being different, get a grip. https://twitter.com/BigSascha/status/1266569270663806978",Religion,5
@logicalmind11 The majority of Muslims have already shown themselves to be radical in polls. http://t.co/voEY1fspR1,Religion,5
I jumped in and talked about the Muslims because you idiots were degrading the Christians on what they believe in when other religions believe in the same exact thing. So when you belittle Christians by proxy you do other religions. Not that you care.,Religion,5
"i gotta say, as a christian woman I don’t think we’re going about it the right way. I get it, protect the lives of the unborn babies (pls don’t tell me when life begins im not here to talk about that) &amp; im not for abortions..but taking away a woman’s choice is not the right way",Religion,5
"@Raja5aab @Quickieleaks You challenge has been accepted, you have been given better verses, proving the Quran is a fraud.",Religion,5
"Btw I have no idea where you're getting this BS about conservatives being anti-Muslim, anti-Semitic, racist etc. from. I bet you're one of those idiots that thinks Ben Shapiro is a Nazi even though he's Jewish",Religion,5
@MaxBlumenthal Islamophobia - fear of this. http://t.co/NWjzljBhOe,Religion,5
"@ummayman90 The only reason the overall numbers increase is because Muslims breed like rats, just like their prophet told them to do. #Islam",Religion,5
"And for you nd indian IT Cell idiot’s info, Pakistani muslims mostly have names which have a literal meaning in arabic or persian. The name ‘SHAHZAZ’ belongs to neither. So next time they should do some research before making a mockery out of themselves",Religion,5
I can see people have turned this into an avenue for posting sexual stuffs and shockingly even the girls are joining in. Need I remind you idiots you're Muslims and you're fasting ffs,Religion,5
Just like u explain the hindutva terrorism pls explain the islamic terrorism.,Religion,5
RT @noisykafir: Please draw mohammed! Just a smiley face will do but draw it and post it. #IAmCharlieHebdo http://t.co/QIOVZyNxdJ,Religion,5
"@robert150254 @Ag_nostic @riwired @itsomar99 Mostly Old Testament, were its heroes attacked and slaughter every man, woman, child, animal",Religion,5
Such idiots should be jailed for their statements which incite innocent Muslims.. How cleverly she's trying to bring in the entire muslim community to the fold of the riot accused Tahir Hussain You are a blot to the society!!,Religion,5
"Yes raise your voice against religious extremists , nations built on basis of religion not humanity and human values , raise your voice against terrorist in the name of jihad ,raise your voice ....",Religion,5
"Traitor Trump just gave @rushlimbaugh the Medal of Freedom for his staunch support of Fascism and the destruction of the Human Rights of anyone who isn't a Whites, Straight, radical fake Christian male.",Religion,5
"Did I explain it right? The Christian woman didn't block me, the atheist did.",Religion,5
@98Halima @cdnKhadija @rfrankh53 @BilalIGhumman @johnnygjokaj ISIS beheads people because Mohammed beheaded 600 Jews in one day.,Religion,5
This is very wrong. How can you invite such an idiot person for discussion with The Tarek Fateh. There are so many other celebrities from Muslim community who are well educated and can give a meaning to a debate. At least have some respect for Fateh Saheb.,Religion,5
"@BigOleFiggletin You should look at yourself in the mirror and ask your self that despite being an old idiot, why is your mindset and mentality worst than a 5 years old kid, even a 5 years old kid can teach you ethics and again I'm proud that I'm a Muslim Alhamdulillah.",Religion,5
"before then; the old ""Islamic world"" was actually far, far less prone to antisemitism than the Christian world (Jews weren't even ""infidel"") prior to Israel's re-establishment/expansion, and UK support for the Saudi Wahhabis and their fellow radical salafists was the start. (2/2)",Religion,5
@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Every day we get the results of the hatred bred by Islam. http://t.co/FafjRPlI6t,Religion,5
"This disgusting traitor Khan + his evil family r well known Islamic terrorism supporters. U couldn't make it up, that this vile monster has power 2 tear down historical statues of OUR british history. He is a Pakistani + has NO right 2 do this! His hands r dripping in blood!",Religion,5
"No. It's Sean and other far right spewing most of the vile hate. As a Christian woman, a black woman, the majority of us know very well it's white supremacist facism -- a centuries old idolatry of fear and hate that Jesus himself condemned. The whole world sees it now.",Religion,5
For a start ghengis Khan conquered most of Asia. The Muslims did a bit too. You hate responses that don't fit your mindset. I don't see any examples from you either. There was a nasty white man called Adolf. And lots of other mostly white men stopped him. Idiot,Religion,5
We are in an era where everyone has come to understand what the real #Islam is all about. http://t.co/evEtQqChxZ,Religion,5
"I've always said it.. Radical Islam exists because the non radical one ""peaceful"" like they say permit it.. you don't see Christians going round killing people anymore because anyone who preaches violence is reported and death with.. Yall support this shit with your silence..",Religion,5
"Again, my tweet was directed to Commie Muslim men, looking like weaklings online. Take your problem to the idiot who misled you into thinking this was about the human face, if you've got the nerve, which I doubt.",Religion,5
Now imagine what would happen to you if that Muslim controlled got a hold of you. Idiot Trump is trying to keep them and sharia law out of here,Religion,5
RT @ToroLocoNC: “@zainiboy915: Don't become a slave of political correctness. http://t.co/LZdYcS6s1o” don't fall for islam / sharia.... @is…,Religion,5
"My mother was a very devout Christian woman who made her views very plain when she was able to. It was non-negotiable for her so regardless of your opinion, it was the right thing for our family.",Religion,5
Haha he's one of those radical Christian pastors that support Trump,Religion,5
But sad u didn't care about ISLAMIC TERRORISM. U just care about consequences but not the problem itself. Such journalists still showing face.,Religion,5
Sad! The fools who beat a fellow human so mercilessly should be taught proper leassion of humanity. It's also sad that the actual terrorist @thewire_in is doing jihad without any worry.,Religion,5
U mean Islamic Terrorism????? I never heard of RSS Terrorism,Religion,5
If your neighbors are terrorist what would your do? Get killed yourself for the sake of humanity of terrorist? Preach your community people to denounce terror/Jihad it may be more effective. Anyways most of these terror units are funded from your region. R u covering up for them?,Religion,5
"@KellyTurner99 @buellerishere Yes, those millions that won't let women drive in Saudi, vote in Kuwait, and cut their clits all over.",Religion,5
"Same! When the evangelical Christian woman says to a mutual friend, ""that's right you support the baby murdering party."" This as a response to trying to convince her Bill Gates is not trying to microchip us. Click. Gone.",Religion,5
@discerningmumin Oh please. Lecture me about porn when Muslims are the worlds biggest porn consumers and Islamic heaven is a brothel.,Religion,5
"If u r a literate person please read the article and not the heading of post, article is about what happens to secular hindu in muslim majority but if you still going behave like idiot and can't understand muslim mindset then forgive me",Religion,5
Time to realize Christianity has no influence in the US. This ‘Christian’ nation you adore so much armed &amp; equipped radical islamists who want death to all nonbelievers &amp; support their attempt to topple the last remaining Christian enclave in the middle east; Syria.,Religion,5
You really is an idiot. Do you think my response to you is some sort of a dialogue exchanging points of views? Your hatred to Muslims automatically compelled you to condemn a Palestinian victim who was killed by a foreign occupying military checkpoint in a Palestinian territory.,Religion,5
"If you be proud Muslim, you no go take offense in being called ""Alhaja""... Being called ""Alhaja"" na sign of Respect. But this woke idiots go make young gals feel otherwise. No matter how agbero take mad reach, if him see person wey wear hijab, e go talk to her with respect.",Religion,5
Oh really? The people who talk about raping each other in comments are saying that Muslims are the one of rape most in India? It was not surprise for me cuz I have encountered so many idiot hindus like you. Go drink cow piss and then come,Religion,5
You’re saying uyghur Muslim extermination is political. BLM is more political you idiot,Religion,5
"Nice nice, now go on and share some quotes from Quran where its written as you say and do tell me why all the terrorist groups have names like Jaish-e-Md and why ISIS flag has Allah written on it.",Religion,5
Yh cause doctors and scientists have iq's less than 50. I guess it will be better to die then to be seen by a Muslim doctors according to idiots like you. You clearly have enough time to tweet hate whilst they are saving stupid people like you during their 14+ hour shifts.,Religion,5
"Every idiot can go and post a verse without taking things out of context but because you hate Muslims so much, that's does explain a lot that you don't do any research",Religion,5
Publicity stunts lead to popularity. Only a fool will call the RSS popular as most don't even know that the RSS has a Muslim wing. Our PM is an OBC and still idiots like you say that the RSS is a Brahmin org against low caste Hindus.,Religion,5
"Again, to each their own. I am happily a Christian woman, who identifies as bisexual. And, EVERYONE has the right to protest - but let’s aim to make it a little bit more peaceful.",Religion,5
"Where is National treasury? You're an idiot, Amalgamation of 1914 was an idea to help Almajiri Muslim poverty thicking region.",Religion,5
Luke you have every right to question a woman's faith in the Lord she should not be dressed half naked spending the night with three or four different men that does not strike me as a good Christian woman I think the Lord just gave you an out a very good out God Bless You,Religion,5
Yes pakistan heaven of jehadi terrorist was that foreign country involved in that religious attract which was only for christians and ISIS took responsibility for this. Only jihad related ppl are behind terrorism all over world ..now has became a fight between jihad n humanity...,Religion,5
@Israelites234 @LahavHarkov @Aliyaist @Gil_Hoffman @Jerusalem_Post Obviously you didn't bother to read up on Bandera.   Remain stupid!,Religion,5
"Check the list of top terrorist organisation..and plz stop comparing VHP or Bajrang dal with any Islamist organization..ISIS and Taliban essential derives their ideology from quran and hadis, yes u can say they misinterpreting it, bt most of their deeds r essentials in Islam",Religion,5
"Lmao I replied to kamra not you fool, So the one who should be getting back to their shit hole is you. Tumne duniya ke saare musalmano ka theka le rakha hai kya, You jumped in my reply to kamra (not to you, not to any muslim) idiot.",Religion,5
"@NicolaSturgeon nippy lied people died. you time is up nippy. your parties time is up nippy. you've been taking the citizens of Scotland for idiots for too long nippy and you've been found out now. covering up a Corona outbreak, covered up Muslim child rape gang. games up nippy!",Religion,5
@JenniHesterman Religion is a factor.  ISIS kills Sunnis for disobedience.  They kill religious minorities just for being non Sunni Muslims.,Religion,5
It was to build one day. Certainly everyone was waiting for SC verdict. Now verdict was pronounced then what is your problem ? Yiu always kept saying Muslim community would accept whatever judgment comes. Now disturbing communal harmony you idiot.,Religion,5
@CavusSeyit @iAmCaticorn People who hate the Nazis are not extremists. And there is no diff between Islam and Nazis.,Religion,5
Catholic-Pagan you klod. Also imagine defending an idiot who's offended over a silly joke...when the guy who said it is Muslim himself.,Religion,5
"What do mean by produce...Over 3 million humans were killed when allied forces invaded Iraq who were they, ISIS TERRORISTS killed more than million who were they...Same quran you misquoted earlier said in 5:32 ""Whoever kills and innocent is as if he killed the whole humanity""",Religion,5
"@IAmThe1Teacher The Quran spend 1/3 of it's space hating on ""unbelievers"".  That's hard to put aside. http://t.co/fQ99V6SIYG",Religion,5
You have done nothing but reply with terrorist agenda and lies. Anyone who has a shred of humanity knows it. Good luck with it.,Religion,5
LOL. That Bengali idiot farted something and you accepted it. How many Sumit Bansal exist in this world? I am sure you will agree that more than 1.similarly there are more than one Faizal. It is a popular Muslim name. The article is not about tiktoker. Article is not fake.,Religion,5
@KJBar @JulieBishopMP It will be the same evil tentacles that are already there in a different uniform.,Religion,5
"2/2 That's the difference between a terrorist nd a history sheeter criminal..But again i didn't expect common sense from u, so it's fine. No tactics can downplay radical Islamic terrorism nd islamist ideology that's all...Yes filth nd violence has a religio.....sshh",Religion,5
So u believe in an article written by “Amir Taheri is an Iranian-born conservative author based in Europe. His writings focus on the Middle East affairs and topics related to Islamic terrorism. He has been the subject of many controversies involving fabrications in his writings”,Religion,5
"You shud remove this from ur bio.If u had iota of knoledge abt pak sponcered islamic terrorism you wud have had raised ur voices against it but deep there in ur mind u r sympathisers of terrorist..its just that u people have camouflaged urself under the name ""intellectual """,Religion,5
"You know who historically burned books Nazi and radical Christians, the same ones who support Trump",Religion,5
@discerningmumin What are you talking about provocation? Islam declared war with the world.  That is more than enough provocation.,Religion,5
This mob killed two police man it is ok but we don’t speak about Islamic terrorism bcz we r majority in India but u u people never see in ur own country minority shame on u propaganda makers,Religion,5
"Im a Chinese muslim you idiot! Do I need you to teach me what is Chinese ethnicity policy. The westerner said 1 million Uyghurs were captured, that is half of the whole Uyghur labor force. Decent scholars have repeatedly said this was definitely impossible.",Religion,5
"I so wish you had the spine, the guts, the balls, the human integrity, and the simple wish to sew them but... alas. Even Kremlin and the Muslim dictators couldn't care less about your existence any longer. Not even the useful idiot.",Religion,5
"Dems voiced their hatred for Christians, whites, males, cops, ICE, the way people are elected, the person elected, people who elected him and voiced their support for illegals who are criminals, Radical Muslims, ISIS killers, MS-13, and their Antifa brown shirts Who matters??",Religion,5
"God is not amused by Democrats who mock and reject traditional Christian religious values and embrace radical secularism including hardline support of infanticide, pervert agendas, and rejection of in schools.",Religion,5
@Mohammed_UK_ The Badr brigade doesn't liberate anyone. They are simply a different flavor of Islamofascists.,Religion,5
@AmandaSheils1 @Colonel_Shami You are pandering to a religion that declared war on all humanity 1400 years ago.,Religion,5
Those banks around the world who destroyed the Muslim countries rebuild our homes now. I know you idiots don’t have the power to return the millions lives that were killed. I mean all the countries to be build. Killing us for oil that belongs to the people they dying from hunger,Religion,5
A COVID 19 patient spitting on other healthy people is a terrorist..particularly when he does it for Islam and Jihad. Now fuck off you Intellectual Jihadi before humanity spits on you.,Religion,5
"These Musilim's terrorist from Saudi Arabia who kill, & cause havoc in this country the FBI wants to find terrorists go to Dearborn Mich they have completely taken over the town beaten Christian Woman it's a hot bed of every Muslim terrorist in the world right under our noses",Religion,5
"CBS you are a group of idiots. BLM is not a group that cares at all about black lives. Muslim Brotherhood, destruction of US etc.",Religion,5
"A false profit that says the right things. But okay with children locked in cages, and some molested. A true Christian woman",Religion,5
"first of all that man could dare to abuse the police men, Dubai police wud have done worst to him even if he is a muslim. i see a bunch of idiots complaining her about these issues expecting an intervention ?? they know what you nuts are upto.....and ur hypocricy. shame on u",Religion,5
"@NNdabbour64 If you are just going to sit there and tell lie after lie, Muslim Taquiyya, this discussion is over. You are blocked.",Religion,5
"Which Eid? Im not a muslim But I have muslim friends. They've told me enough to knw tht Eid =festival. So what you have written translates to ""festival of festival"" Are you even a muslim ? I dont think so . U r just an idiot thats ranting what u dont evn knw.",Religion,5
"Please check how many Muslims carried out terrorist attacks in the name of Quran and Allah ISIS, Al-Qaeda, Jaish-e-Mohammed, Lashkar-e-Taiba, Hizbul Mujahideen, Indian Mujahideen, SIMI, Al-Shabaab, Hamas, Hezbollah, Taliban and so on",Religion,5
"Idiot, you are just a blind fan of neel.. you don't feel that antenna on Narad Muni's head as mockery of Hinduism, call a muslim he will show you mirror and prove my words right",Religion,5
"We have surrendered because we were fighting with our own Muslim brothers. Remember 1965 and 1998 , when we have beated the Non-Muslims so badly. In 1971, you just pushed a moving vehicle. Idiot! don't trust your liar media.",Religion,5
"bein so much soft hehe.Especially when USA knows understands well enof d dirty stinkin menac of radical islamic jihadism,INDIAN HINDU guys lyk us r fully FULLY in support of USA agnst radical islamism becoz latter bein killers of christians Hindus jews sikhs.Pakistan another one.",Religion,5
Conservative boomer Republicans are some of the dumbest useful idiots in politics. They just post “somebody did something” memes then support the slaughter of Christians in the Middle East. We funded radical Islam in the Middle East before &amp; after 9/11.,Religion,5
"@kewldevzzo I don't ""follow"" any god. But if one were to imagine Satan inventing a religion, it would be like Islam.",Religion,5
RT @joe_nuzz: Why Our President Chose to Insult Christianity and Excuse Militant Islam at the National Prayer Breakfast   http://t.co/c6IwF…,Religion,5
"If you agree with this Islamophobic antisemitic idiot, please unfollow me. He just hated on fellow Jews for defending Uyghurs from genocide and a Pro-Israel Muslim friend of us #saynotoIslamophobia #Saynotoantisemitism",Religion,5
"I am not condemning anything until you agree upon evil people being in all Religion U will call hindutva Terrorism but not Islamic Terrorism, If you can show your double standards so why should I condemn",Religion,5
"Of course we'll celebrate our Eid-Al-Adha with much more zeal. That country where muslims's life, dalit's life, minorities life doesn't matter shameless idiots are speaking up to save goats huh, #हम_बक़रीद_मनाएंगे + 'pictures bhi upload krenge' just wait and watch you morons.",Religion,5
"Hey @VP you know mother doesn’t like people to lie, right @SecondLady ? He lies, what do you think of that you good “Christian” woman?",Religion,5
"Oh idiot! What are the chances for those 30 %. This is the problem of our country, demonizing a whole community for a single idiots nonsense act. Can the National Commission of Minorities act on this ? No!! Imagine the outrage if you replace the word ""Muslim"" with --------",Religion,5
"Go do one what.. be clear, you sound like an idiot. If Muslims are seen as losers, it's because there's infighting among themselves (but fanatically united by faith, as anybody opposing them usually find) and the 'West' is busy encouraging that for finance gain.",Religion,5
"@JoeBiden says wear a mask in his new Add. Sir you are an idiot. No one believes your with all Americans. You hate the right, independents, and old Democrats. You are a socialist. We are black, hispanic, Asian, Muslim, American and Gay enough yo say HELL NO TO YOU!",Religion,5
@PetaIndia we dnt give a damn to racist orgamization. Go and play these racism game wid islamic terrorism. I think u should shut this organization. Every time u post those things which brings u abusive language and curse.,Religion,5
You saudias are not friends of Muslim idiots cheapless people,Religion,5
OIII YOU SON IF BICH IM A MUSLIM AND I WOULD RATHER THROUGH MY IN HELL WILLINGLY THEN EVER FBCKING SUPPORT THIS PIECE OF SHT. GO TO HELL IMBRAHIM AND I HOPE YOU KNOW HOW DISSAPPOINTED ALLAH AND YOUR MOTHER AND FATHER ARE IN YOU. YOURES MUSLIM HES GONNA SHOOT YOU NEXT IDIOT,Religion,5
RT @historyscoper: #islam #jihad SWEDISH MEDIA LIE to protect Somali Muslim gang-rapists http://t.co/AcmF7CG9bj,Religion,5
"@Ammaawah @jm111t Again, the woman must be obedient to the man, even if he is a fool and she is brilliant.  You are proving my point again.",Religion,5
He Knew He Was Going To Have Me Tell You The Truth He Is Arabic He Taught Me The Quran For This Prophecy He is Your Father He Created Your Christians Overwhelmed Right Now Isalm Doesn't Seem To Care I Can't Breathe He Is Not Happy Christians One Christian Woman Not A Muslim Woman,Religion,5
@Vandaliser @sajid_fairooz @IsraeliRegime Don't rely on a single case. Read the pact of Umar.,Religion,5
"India should also reject idiots who pose themselves as "" True Hindu"" . India should also reject idiots who pose themselves as ""True Muslim"" . Who are you to teach some one how should they follow their religion, it's a private matter. #IndiaRejectsNoiseTerror",Religion,5
@Lithobolos @PoliticalAnt @ZaibatsuNews ...Then suddenly their Muslim neighbors are persecuting them and stealing their property.,Religion,5
"800 years of slavery , rapes , killings , conversions,etc. By Muslim Invaders in India over Hindus... And idiots like you , compare Muslims with blacks in USA which is completely ridiculous... Stop projecting them like victims , they're 200million , they're not minorities!",Religion,5
@zaidbenjamin Daesh really go to extremes to stage their propaganda material.,Religion,5
"RT @riwired: There is no ""moderate Islam"" Islam is #Islam. #Sharia is Islam, no difference. @itsomar99 @VileIslam @BasimaFaysal http://t.co…",Religion,5
The Jewish Press » » New Gaza Tunnel Collapse Buries Alive Islamic Jihad Terrorists#auspol no loss to humanity http://www.jewishpress.com/news/breaking-news/new-gaza-tunnel-collapse-buries-alive-islamic-jihad-terrorists/2016/08/10/?pushcrew_powered,Religion,5
What Else Can I Say Isalm I'm Tired Of This Prophecy Mess You Created For Me Don't Talk To Me Don't Tweet For Me Then Want Me To Tweet For You Why Now After 6 Years Do You Want A Christian Woman To Tweet For You Have Muslim Queens Right You Tweet For They Can,Religion,5
"Idiot, I have already told you to drop the neo četnik/yugoslav narative that we are Muslims, Muslims is not and never will be a nationality. We are Bosniaks our native country is Bosnia other ethnicities live there too but it is still our native country",Religion,5
Muslims Of Subcontinent Fought The British. Rss Supported Their Rule. Muslims Of India Fought USSR In Afghanistan. Hindu India Supported It. Muslims Of India Fought the U.S Invasion of region And You Idiot My Friend Repeated The Treachery.,Religion,5
"Are you worried again the muslims will take over India and build a mosque? Idiots, Keep destroying and constructing temples, mosques and churches. Shame you!",Religion,5
Now you talking shit. The ilkhan leaders became muslims. Sunni muslims. The majority of the ilkhanate was sunni muslim. Iran never had a shia majority until shah ismail I and shah abass the great. Dont be an idiot. Read history,Religion,5
"And do you know, our prophet literally condemned to hell whoever harms a non Muslim even by speech or discrimination of any kind. Those radical idiots have been brainwashed by dangerous texts by radical men like Ibn Taymeya who twisted religion for their own agendas.",Religion,5
@donnabrazile Christian woman ??? Right waste of flesh,Religion,5
"yeah Gerry, they believe in Democracy in its 70 years of independence it had around 37 years of Military rule. And yeah about Human rights - Please read Asiya Bibi case, poor christian woman escaped death penalty and got asylum in France after years of staying in Jail.",Religion,5
Imagine if you could for example that idiot stepping into the shoes of an Iranian ayatollah and telling the Muslims that he’s intending to change all the street names in Tehran to reflect past British heroes as the present names are offensive..farkinell! That would be something.,Religion,5
"He's a Christian nationalist, plz support him for he's fighting radical Izlemic terrorism.",Religion,5
Learn about people you idiot. he is not from the western world where if fam member dies you questioned god. he is Muslim If you know about the religion were thought that they are in a better place.We belong to Allah and him we shall return. Doesn’t mean he doesn’t love his dad,Religion,5
"What u said is opposite,Hindus are the most tolerant who faced all atrocities of islamic terrorism i from Kashmiri pandit exodus to Bengal killing of Hindus to Mumbai attacks,sanyasis killed so just hurting Hindu feelings everytime won't go very well,Hindus r tolerant world knows",Religion,5
@halalflaws @biebervalue @greenlinerzjm The women convert to Islam because they marry Muslim men. Men convert in prison.,Religion,5
My daughter has called me a radical an extremist and a bad Christian..all due to the fact I support Trump. I am none of these things.,Religion,5
watching all the muslims in charlotte fight stop the division guys you’re all fucking idiots,Religion,5
Muslims mostly support or don't speak against fellow Muslims no matter what. Even the radical ones. Christians always support fellow Christians. Only liberal Hindus criticise fellow Hindus for being proud of their religion. We lack unity like them.,Religion,5
Why did the Chinese government arrest these Chinese Muslims the answer is its because they’re Muslims. The book 1984 is happening in China and you idiots wanna trust coronavirus information from them.,Religion,5
@ldstarr18 @AC360 Islam is worse than the Nazi party ever was.,Religion,5
Oh realy? They're killing people in the name of allah.. how cant i say islamic? Did any terrorist praise hindus god or Christian? No but they praise their own god and their doing it by saying Jehaad. So it is islamic terrorism. U cant deny ir justify it we all knw how u want to,Religion,5
"is terrorism, people will continue to die. Now they are using a deadly virus as well as guns. They can wrap themselves in the American flag and thump a bible they have never read, just like Alqaeda and ISIS do with the Quran, they are terrorists, period.",Religion,5
Humanity is everywhere sister. In every human being. Until this terrorist spoil it in the name of your God and jihad.,Religion,5
